Player_ID,event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
73,16,57,977,2389368,2389368,449175,25,2,1024,4,4,6
73,17,56,1033,6322181,6322181,817294,60,2,1025,1,0,19
73,18,62,1095,2825559,2825559,811486,30,2,1028,0,0,6
73,19,51,1142,8983082,8983083,1427247,90,3,1031,3,4,13
73,20,64,1206,4204760,4204760,1472993,40,3,1033,0,0,0
77,1,59,59,3866409,3866411,3866410,45,0,1000,0,0,22
77,2,54,113,7900980,7900981,6264604,90,0,1001,1,0,5
77,3,60,173,6474707,6474707,6038224,70,0,1002,1,0,17
77,4,34,207,9184672,9184672,7043162,95,0,1002,0,0,10
77,5,79,286,584688,584688,5511186,10,0,1002,2,0,4
77,6,44,330,6355234,6355234,5956451,65,0,1001,0,0,1
77,7,59,389,1477499,1477500,5041939,15,0,998,0,0,3
77,8,55,444,593676,593676,3697754,10,0,998,0,0,5
77,9,50,494,6787715,6787716,4140938,65,0,999,0,0,8
77,10,47,541,2643451,2643451,3689922,25,1,997,4,0,4
77,11,48,589,5399205,5399205,3802480,55,1,1000,0,0,10
77,12,80,669,242267,242267,2363864,5,1,1002,0,0,0
77,13,63,732,4543842,4543842,2503977,45,1,1007,0,0,0
77,14,39,771,9799927,9799927,3435912,95,1,1011,0,0,0
77,15,38,809,8925972,8925972,4003192,90,2,1012,3,0,6
77,16,76,885,99871,99871,2942186,1,2,1013,0,0,11
77,17,36,921,9328507,9328507,4052585,90,2,1013,0,0,0
77,18,59,980,3944761,3944761,3937042,40,0,1010,3,0,10
77,19,81,1061,1993219,1993220,3641426,20,0,1012,0,0,9
77,20,60,1121,5643112,5643112,3763833,55,0,1012,4,0,5
93,1,84,84,152756,152757,152756,5,0,1000,0,0,0
93,2,66,150,5735855,5735855,1061176,65,0,1000,1,0,0
93,3,88,238,439048,439048,372316,5,9,1001,1,0,2
93,4,36,274,8961703,8961703,1458500,90,8,1004,1,0,3
93,5,67,341,2571251,2571255,1235717,30,33,1006,1,0,5
93,6,66,407,1806932,1806933,619360,20,1,1007,0,0,1
93,7,37,444,8000342,8000342,1106797,80,1,1014,0,0,7
93,8,47,491,1777113,1777114,775761,20,1,1016,0,0,2
93,9,61,552,3367094,3367094,821651,35,40,1017,3,0,2
93,10,52,600,1431598,1431598,738619,15,0,1020,2,4,2
93,11,72,672,614988,614989,419707,10,0,1022,0,0,2
93,12,71,743,877568,877569,255270,10,26,1023,1,0,2
